First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Colette,Buchanan,Assistant United States Attorney,24,"Obama, Bush II, Clinton, Bush I"
Jacob,Buchdahl,Assistant United States Attorney,5,Bush II
Thomas,Buck,"Assistant United States Attorney, C.D. CA",27,"Trump, Obama, Bush II, Clinton, Reagan"
Beverly ,Buck,Special Assistant United States Attorney,1.5,Reagan
Bruce,Buckheit,Senior Counsel,12,"Clinton, Bush I, Reagan"
Samuel,Buell,Assistant United States Attorney,10,"Bush II, Clinton"
David,Buente,"Chief, Environmental Enforcement Section",11,"Bush I, Reagan, Carter"
David,Bukey,Interim United States Attorney,8,"Carter, Ford, Nixon"
David,Bullock,"Senior Counsel and Unit Director, Environmental Crimes Section",13,"Bush I, Reagan, Ford, Nixon"
Renee,Bunker,"Chief, Appellate Section, District of Maine",21,"Trump, Obama, Bush II, Clinton"
Patrick,Bupara,Chief Assistant United States Attorney,20,"Clinton, Bush I, Reagan, Carter"
Betsy,Burke ,Senior Trial Attorney ,35,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Don,Burkhalter,United States Attorney SDMS,32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Paula,Burnett,First Assistant United States Attorney,26,"Obama, Bush II, Clinton, Bush I"
Susan,Burnett Mansfield,"Assistant Director, Commercial Litigation Branch",16,"Clinton, Bush I, Reagan"
Kelly,Burnham,Senior Litigation Counsel,20,"Bush II, Clinton, Bush I"
Sharon,Burnham,Principal Assistant United States Attorney,25,"Obama, Bush II, Clinton, Bush I, Reagan"
Jim,Burns,"United States Attorney,  ND IL",11,"Clinton, Carter, Ford, Nixon"
Sarah,Burr,Assistant Immigration Judge,20,"Obama, Bush II, Clinton"
Barbara,Burr,Senior Trial Attorney,9,"Clinton, Bush I"
Joseph,Burton,"Chief Assistant, San Jose Office, Northern District of California ",11,"Reagan, Carter"
Jocelyn,Burton,Civil Chief,11,"Bush II, Clinton"
Alex,Busansky,"Trial Attorney, Criminal Section, Civil Rights Division ",5,"Bush II, Clinton"
Paul,Butler,Trial Attorney,4,"Clinton, Bush I"
Joseph,Butler,Assistant United States Attorney,8,"Reagan, Carter"
David,Buvinger ,Assistant United States Attorney,41,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Kenneth ,Bynum,Assistant United States Attorney,3.5,Reagan
Michael,Byowitz,Senior Trial Attorney,4,"Reagan, Carter"
