First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Peter,Rient,Actin Deputy Assistant Attorney General,18,"Reagan, Carter, Ford, Nixon"
Leonard,Rieser,Trial Attorney,6,"Reagan, Carter, Ford"
Lori,Rifkin,Senior Trial Attorney,3,Obama
Mary,Rigdon,Assistant United States Attorney,23,"Bush II, Clinton, Bush I, Reagan, Carter"
Patricia,Riley,Special Counsel to the US Attorney for DC,33.5,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Joseph,Rillotta,"Trial Attorney, Tax Division (CES-W)",6,"Obama, Bush II"
Monica,Rimai,Assistant United States Attorney,5,Clinton
Elizabeth,Rinaldo,Senior trial counsel ,27,"Trump, Obama, Bush II, Clinton, Bush I"
Susan,Ringler,"Assistant United States Attorney, District of Maryland",13,"Clinton, Bush I, Reagan"
Roland,Riopelle,"Assistant United States Attorney, Southern District of New York",6,Clinton
Richard,Ritter,Special Litigation Counsel,24,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Andres,Rivero,Assistant United States Attorney,5,"Clinton, Bush I"
Lewis,Rivlin,Senior Trial Attorney,7,Kennedy
Lawrence,Robbins,Assistant United States Attorney,7,"Bush I, Reagan"
Peter,Robbins,Trial Attorney,22,"Bush II, Clinton, Bush I, Reagan"
Joshua ,Robbins,Assistant United States Attorney,7,Obama
Portia,Roberson,"Director, Office of Intergovernmental and Public Liaison",4,Obama
E. Thomas,Roberts,"Chief, Narcotics Division, USAO-Maryland",40,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Riley,Roberts,Chief Speechwriter to the Attorney General,4,Obama
Darwin,Roberts,Assistant United States Attorney,8,"Obama, Bush II"
Rachel,Roberts,Trial Attorney ,7,"Trump, Obama"
Timothy,Roberts,Case Manager,24,"Obama, Bush II, Clinton, Bush I"
Matthew,Roberts,Senior Counsel/OLC; Assistant to the Solicitor General,20,"Trump, Obama, Bush II, Clinton"
Charles,Roberts,Assistant United States Attorney,28,"Trump, Obama, Bush II, Clinton, Bush I"
Nina,Robertson,Attorney ,3,Obama
Laurie,Robinson,Assistant Attorney General ,10,"Obama, Clinton"
Stewart,Robinson,"Principal Deputy Director, Office of International Affairs",28,"Obama, Bush II, Clinton, Bush I, Reagan"
John,Robinson,"Assistant United States Attorney, Senior Litigation Counsel",23,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Michael,Robinson,"Senior Counsel, Civil Appellate Staff",36,"Obama, Bush II, Clinton, Bush I, Reagan"
Scharn,Robinson,Assistant United States Attorney for the District of Columbia ,7,Bush II
Kathleen,Roblez,Trial Attorney ,3,"Trump, Obama"
Mimi,Rocah,"Chief White Plains Division, SDNY",16.5,"Trump, Obama, Bush II, Clinton"
David,Rocah,Senior Trial Attorney,3,Clinton
Thomas,Roche,Associate United States Attorney,16,"Clinton, Bush I, Reagan, Carter"
William,Roche,Supervisory Special Agent-DEA,22,"Obama, Bush II, Clinton"
Paul,Rochmes,Assistant United States Attorney,25,"Trump, Obama, Bush II, Clinton, Reagan"
Jennifer,Rodgers,Assistant United States Attorney,13,"Obama, Bush II, Clinton"
Janice,Rodgers,"Director, Departmental Ethics Office",30,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Leon,Rodriguez,"Chief of Staff, Deputy Assistant Attorney General, Civil Rights Division",8.5,"Obama, Bush II, Clinton"
Nancy,Rodriguez,"Director, National Institute of Justice",2,Obama
Jacabed,Rodriguez-Coss,"Deputy Chief, National Security and Major Crimea Unit, District of CT",24,"Trump, Obama, Bush II, Clinton"
David,Rody,Assistant United States Attorney,12.5,"Obama, Bush II, Clinton"
Susan,Roe,Assistant United States Attorney,28,"Obama, Bush II, Clinton, Bush I"
Martha,Rogers,Assistant United States Attorney,10,"Bush I, Reagan, Carter"
Barbara ,Rogers,"Senior Attorney, Environment Division",8,"Clinton, Bush I, Reagan"
Estelle,Rogers,Trial Attorney ,1,"Reagan, Carter"
Michael,Rogoff,"Assistant United States Attorney, Southern District of New York",5,"Clinton, Bush I"
Gerald,Role,Senior Trial Attorney,28,"Trump, Obama, Bush II, Clinton, Bush I"
Michael,Ronickher,Trial Attorney,9,"Trump, Obama, Bush II"
Eloise,Rosas,"District Counsel, DOJ/INS Arlington, Va.",24,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Robert,Rose,Special Assistant United States Attorney,5,"Reagan, Carter, Ford"
Robert,Rose,"Assistant United States Attorney, Chief of Criminal Division",12,"Reagan, Carter, Ford"
Alan,Rose,Assistant United States Attorney,5,"Carter, Ford"
Marc,Rosenbaum,"Assistant United States Attorney, SDNY",4,Reagan
John,Rosenberg,Section Chief,7,"Nixon, Johnson, Kennedy"
Ezra,Rosenberg,"Senior Trial Attorney, Division of Land & Natural Resources",3,"Reagan, Carter"
Richard,Rosenberg,"Trial Attorney, Antitrust Division",33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Lory,Rosenberg ,"Member, Board of Immigration Appeals",7,"Bush II, Clinton"
Joel,Rosenthal,Senior Litigation Counsel,8,"Reagan, Carter, Ford, Nixon"
Stephen,Rosenthal,Trial Attorney,3,"Bush II, Clinton"
Daniel,Rosenthal,Senior Counsel to the Assistant Attorney General ,3,Obama
Paul,Rosenzweig,"Trial Attorney, Environmental Crimes Section",6,"Bush II, Bush I, Reagan"
Genevieve,Rosloff,Trial Attorney (Attorney General's Honors Program),1,"Obama, Bush II"
Adam,Rosman,Assistant United States Attorney,6,"Clinton, Bush I"
Lawrence,Ross,Trial Attorney,10,"Nixon, Johnson"
Susan,Ross,"Special Litigation Counsel, Civil Rights Division",3,"Reagan, Carter"
Margery,Ross,Research Analyst,4,"Nixon, Johnson"
Alan,Ross,"Chief, Civil Division, United States Attorney's Office N.D. Ohio",6.5,"Bush II, Clinton"
Alexander,Ross,Special Litigation Counsel Civil Rights,39,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson, Kennedy"
Heather,Ross,Assistant United States Attorney,14,"Obama, Bush II"
Gene,Rossi,Supervisory Assistant United States Attorney,27,"Obama, Bush II, Clinton, Bush I"
John,Roth,Associate Deputy Attorney General,25,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Frank,Rothermel ,Fraud Prosecutor—Main Justice,3,"Bush I, Reagan"
Amy,Rothstein,Assistant United States Attorney,4.5,Reagan
Stephen,Rotter,"Special Assistant United States Attorney, NDIL",4.5,"Obama, Bush II"
Mary Alice,Rowan,Trial Attorney,3,Reagan
Ann,Rowland,"Deputy Criminal Chief, Northern District of Ohio",38,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Susan ,Roy,Immigration Judge,7,"Obama, Bush II, Clinton"
Soledad,Roybal,Assistant to OPA Director,1,Clinton
David,Rubens,Trial Attorney DOJ Antitrust Division,2,Bush I
Alan,Rubin,Assistant United States Attorney,7,"Reagan, Carter"
Lee,Rubin,"Trial Attorney, Civil Rights Division/Assistant U.S Attorney",8,"Clinton, Bush I"
Tom,Rubin,Assistant United States Attorney,4,Clinton
Bill,Rubin,Special Attorney,2,Obama
John,Rubiner,Assistant United States Attorney,5,Clinton
Stuart,Rudnick,Special Attorney,4,"Ford, Nixon"
Charles,Ruffner,"Trial Attorney, Tax Division",4,Johnson
Charlton,Rugg,Assistant United States Attorney,7,"Obama, Bush II"
Heidi,Rummel,"Deputy Chief, General Crimes Section USAO CDC",11,"Bush II, Clinton"
Allison,Rumsey,"Counsel to the Assistant Attorney General, ENRD",8,Clinton
Joshua,Russ,Civil Chief,4.5,"Trump, Obama"
Donald,Russell,"Section Chief, Antitrust Division",21,"Bush II, Clinton, Bush I, Reagan, Carter"
Ronald G. ,Russo,"Chief, Official Corruption/Special Prosecution Section",4,Carter
Daniel,Ruzumna,Assistant United States Attorney,6,"Bush II, Clinton"
Jacqueline,Ryall,Attorney-Advisor,1.5,Clinton
Allan,Ryan,"Director, Office of Special Investigations, Criminal Division",7,"Reagan, Carter"
Mark,Sabath,Senior Attorney,13,"Trump, Obama, Bush II"
William,Sabol,"Director, Bureau of Justice Statistics",8,"Obama, Bush II"
Robert,Sadowski,Health Care Fraud Coordinator,14,"Clinton, Bush I"
Ronald,Safer,Criminal Chief ,10,"Clinton, Bush I"
Joan,Safford,First Assistant United States Attorney,27,"Bush II, Clinton, Bush I, Reagan, Carter"
Laura,Sagolla,Assistant United States Attorney,8,"Trump, Obama"
Evelyn,Sahr,Trial Attorney,4,Reagan
Michael J,Salem,"Assistant Chief, Tax Division",35,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Peter,Salerno,Assistant United States Attorney,14,"Reagan, Carter, Ford, Nixon"
Marlene,Sallo,"Chief of Staff/Senior Counsel, CRS",2,Obama
Sasha ,Samberg-Champion,"Senior Attorney, Appellate Section, Civil Rights Division",4,Obama
Randall,Samborn,Assistant United States Attorney,20,"Obama, Bush II, Clinton"
Karen,Samman,"Assistant District Counsel, SF District Counsel for INS",1.5,Bush II
Kathleen,Sample,Assistant United States Attorney,3,Obama
Stephen,Samuels,Assistant Section Chief,31,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Julie,Samuels,"Director, Office of Policy and Legislation, Criminal Division",27,"Bush II, Clinton, Bush I, Reagan, Carter"
L. Felipe,Sánchez,"Assistant United States Attorney, N.D. Illinois",25,"Bush II, Clinton, Bush I, Reagan"
James,Sanders,Assistant United States Attorney  - ND Ill; CD Cal. ,9,"Reagan, Carter"
Harry,Sandick,Assistant United States Attorney,6,Bush II
Leonard,Sands,Trial Attorney - Criminal Division,8,"Reagan, Carter, Ford, Nixon"
Jeb,Sanford,"Assistant Chief, Environmental Enforcement Section, ENRD",9,"Clinton, Bush I, Reagan"
R Jerome,Sanford ,Managing Assistant United States Attorney,22,"Bush II, Clinton, Carter, Ford"
Donna,Sanger,Deputy Chief Counsel,16,"Obama, Bush II, Clinton, Bush I"
Betty,Santangelo,Assistant United States Attorney,6,"Reagan, Carter, Ford"
Frank,Santoro,"Chief, Civil Division (CT); Senior Litigation Counsel",12,"Reagan, Carter, Ford"
Daniella,Sapriel,Trial Attorney,4,"Carter, Ford"
Amy,Sargent,Trial Attorney ,4,Reagan
Theo,Saurus,Assistant United States Attorney,6,Bush I
Joseph F.,Savage,Chief of Special Prosecution ,13,"Clinton, Bush I, Reagan"
Zoe,Savitsky,Trial Attorney,5.5,Obama
Ephraim,Savitt,"Assistant United States Attorney, Eastern District of New York",8,Reagan
John,Sawyer,"Economist, Antitrust Division",37,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Keith,Saxe,"Assistant Chief, Natural Resources Section, ENRD",25,"Obama, Bush II, Clinton, Bush I"
Surya,Saxena,Assistant U.S. Attorney - District of Minnesota,9,"Trump, Obama"
Pamela,Sayad,"Assistant United States Attorney, District of Columbia",3,Carter
Michael,Scadron,Senior Trial Counsel,30,"Bush II, Clinton, Bush I, Carter, Ford, Nixon"
Terri,Scadron,Assistant Director,25,"Trump, Obama, Bush II, Clinton"
Frank,Scafidi,"Chief, FBI National Press Office",20,"Bush II, Clinton, Bush I, Reagan"
Lester,Scall,Trial Attorney,6,"Nixon, Johnson"
Gregory,Scandaglia,Trial Attorney,6,Reagan
Mary,Scarbrough,Assistant Regional Counsel,8,"Clinton, Bush I, Reagan"
Edward,Scarvalone,"Chief, Environmental Protection Unit (USAO-SDNY)",15,"Bush II, Clinton, Bush I"
Shira,Scgeindlin,Assistant United States Attorney,4,Carter
Suzanne,Schaeffer,Trial Attorney,2,Clinton
Frederick,Schaffer,First Assistant United States Attorney,5,"Carter, Ford"
Richard,Schechter,Senior Litigation Counsel,28,"Obama, Bush II, Clinton, Bush I, Reagan"
Charles,Scheelere,Assistant United States Attorney,5,"Bush I, Reagan"
Arden,Schell,Deputy Assistant Attorney General,1,Carter
Peter,Schenck,"First Assistant United States Attorney, EDPA",33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Howard ,Scher,Attorney ,36,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Daniel,Schermer,Assistant United States Attorney,13,"Reagan, Carter, Ford, Nixon"
James,Schermerhorn,Supervisory Trial Attorney ,24,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Lois,Schiffer,Assistant Attorney General for the Environmental and Natural Resources Division,14,"Clinton, Reagan, Carter"
David,Schindler,Senior Litigation Counsel,11,"Clinton, Bush I"
Katherine,Schlech,Assistant Chief,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Peter,Schlossman,Trial Attorney ,7,"Bush II, Clinton"
Tracy,Schmaler,"Director, Office of Public Affairs ",4,Obama
Deborah ,Schmall,Trial Attorney,3,"Reagan, Carter"
Paul,Schmidt,"Chairman, Board of Immigration Appeals",35,"Obama, Bush II, Clinton, Reagan, Carter, Ford, Nixon"
Angela,Schmidt,Assistant United States Attorney,29,"Obama, Bush II, Clinton, Bush I, Reagan"
Joseph,Schmitz,Assistant United States Attorney,31,"Obama, Bush II, Clinton, Bush I, Reagan"
Susan,Schneider,Senior Attorney ,29,"Obama, Bush II, Clinton, Bush I, Reagan"
Thomas,Schneider,US Attorney - Eastern District of Wisconsin,8,Clinton
Herbert,Schoenberg,Assistant United States Attorney,3,Johnson
Leida,Schoggen,Assistant United States Attorney ND CA,13,"Bush I, Reagan, Carter, Ford, Nixon"
Steven,Schooner,Trial Attorney ,5,"Clinton, Bush I"
Gideon,Schor,"Chief Appellate Attorney, Civil Division, SDNY",13,"Bush II, Clinton, Bush I"
Sherri,Schornstein,Assistant United States Attorney,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Sandra,Schraibman,"Assistant Director, Federal Programs Branch,Civil Division",36,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Stephen,Schroeder,Senior Litigation Counsel,30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Victoria,Schultz,Deputy Assistant Attorney General,3.5,Obama
Vicki,Schultz,Senior Trial Attorney,3,Reagan
Nancy ,Schuster,Chief Criminal Division Northern District of Ohio,12,"Reagan, Carter, Ford"
Robert S.,Schwartz,Trial Attorney,4,"Carter, Ford"
Douglas,Schwartz,Assistant United States Attorney,5,"Reagan, Carter"
Melissa,Schwartz,Senior Public Affairs Officer ,1,Obama
Wendy,Schwartz,"Deputy Chief, Civil Division, SDNY",8,"Bush II, Clinton"
Lisa,Schwartz,"Attorney, Criminal Appellate Section",6,"Bush II, Clinton"
Carolyn S.,Schwartz,"United States Trustee, Region 2",7,"Bush II, Clinton"
David,Schwendiman,"Interim United States Attorney, District of Utah",27,"Obama, Bush II, Clinton, Bush I, Reagan"
Tina,Sciocchetti ,Assistant United States Attorney,17.5,"Obama, Bush II, Clinton"
A. Hugh,Scott,"Assistant United States Attorney, D. Mass.",5,"Reagan, Carter"
Zaldwaynaka ,Scott,Chief of General Crimes Section/Asst. US Attorney ,16,"Bush II, Clinton, Bush I, Reagan"
Michael,Scott,Trial Attorney,3,"Reagan, Carter"
David,Scott,"Senior Trial Attorney, Criminal Division",4,"Carter, Ford"
Patricia,Scott-Clayton,"Senior Trial Attorney, Tax Div., Civil Division, Central Region",7,"Reagan, Carter"
William Richard,Scruggs ,"Counsel for Intelligent Policy/ Senior Litigation Counsel , USAO , SDFL",20,"Clinton, Bush I, Reagan, Carter"
Daniel,Searing,Attorney,29,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Gerald,Secundy,"Attorney, appellate section ",1,Nixon
Malcolm,Segal,First Assistant United States Attorney ,9,"Carter, Ford, Nixon"
David,Seide,Assistant United States Attorney,11,"Bush II, Clinton, Bush I"
Ricki,Seidman,Deputy Associate Attorney General,2,Clinton
James,Seif,"Special Assistant to the Assistant Attorney General, Criminal Division",5,"Ford, Nixon"
Thomas,Seigel,"Chief, Organized Crime & Racketeering, EDNY",8,"Bush II, Clinton"
Randy,Seiler,United States Attorney - District of South Dakota,22,"Obama, Bush II, Clinton"
Perry,Sekus,Civil Chief,13,"Bush II, Clinton"
Robert,Seldon,Assistant United States Attorney,8,"Reagan, Carter"
Steven,Semeraro,Trial Attorney,5,Clinton
Robert,Semmer,"Chief, Criminal Division, US Attorney’s Office, Northern District of Illinois",11,"Carter, Ford, Nixon"
Jill,Semmerling,Special Agent,15,"Obama, Bush II, Clinton, Bush I"
Randal,Sengel,Assistant United States Attorney,18,"Obama, Bush II, Clinton"
Tom,Servo,Trial Attorney,3,Obama
Linda,Severin ,"Deputy Chief, Appeals - SDNY",8,"Bush I, Reagan"
Nitin,Shah,"Chief of Staff, Civil Division",9,"Trump, Obama, Bush II"
William,Shaheen,"United States Attorney, NH",4,Carter
Thomas,Shakeshaft,Assistant United States Attorney - N.D. Ill.,11,"Trump, Obama, Bush II"
Peter,Shane,"Attorney-Advisor, OLC",3,"Reagan, Carter"
Daniel,Shanfield,Assistant District Counsel,2,Clinton
Robert,Shanks,"Deputy Assistant Attorney General, OLC",3,Reagan
Kelsey,Shannon,Trial Attorney,3,Obama
John,Shannonhouse,"Program Analyst and Security Officer, ICITAP, USDOJ Criminal Division",33,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Harriet,Shapiro,Assistant to the Solicitor General,42,"Bush II, Clinton, Bush I"
Gary,Shapiro,Interim United States Attorney,42,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Jonathan ,Shapiro,"Assistant United States Attorney, Central District of California and Special Assistant to United States Attorney General Janet Reno",9,"Clinton, Bush I"
Avin,Sharma,Special Assistant to the Chairman of the Foreign Claims Settlement Commission,3,Obama
Andrea,Sharrin,Deputy Chief,22,"Obama, Bush II, Clinton"
Gary,Shattuck,Assistant United States Attorney,15,"Bush II, Clinton, Bush I"
Steven,Shaw,"Senior Trial Attorney, Chief, Criminal Division, SD Texas",5,"Reagan, Carter"
Theodore,Shaw,"Trial Attorney, Civil Rights Division",2.5,Carter
Dianne,Shawley ,Senior Counsel,23,"Trump, Obama, Bush II, Clinton, Bush I"
Henry (Hank),Shea,"Assistant United States Attorney, Chief, White Collar Crime Section (D. MN)",20,"Bush II, Clinton, Bush I, Reagan"
Barton,Sheela,Assistant United States Attorney,3,Carter
Deborah,Shefler,Assistant United States Attorney,11,"Reagan, Carter, Ford, Nixon"
Stephen ,Shefler ,Chief Assistant United States Attorney,21,"Bush II, Clinton, Bush I, Reagan, Carter"
Soroush,Shehabi,Trial Attorney,6,"Bush II, Clinton"
Thomas,Sheldon,Trial Attorney,14,"Reagan, Carter, Ford, Nixon"
Jill,Shellow ,"Counsel, Assistant Attorney General, Tax Division",4,Clinton
Joseph,Shenkar,Special Assistant United States Attorney ,5,Obama
Ethan,Shenkman,Deputy Assistant Attorney General,13,"Obama, Bush II, Clinton"
George,Sherk,Trial Attorney,6,"Bush I, Reagan"
Frank,Sherman,"Dep. Chief, Special Prosecutions Div. - EDPA; AUSA - SDNY, SDFL, WDNY",38,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Vivian,Shevitz,"Assistant United States Attorney, Chief of Appeals",4,"Reagan, Carter"
Anne,Shields,Section Chief,14,"Clinton, Bush I, Reagan, Carter"
Kamil,Shields,Assistant United States Attorney,5,"Trump, Obama"
Richard,Shiffrin,Deputy Assistant Attorney General,4.5,Clinton
David,Shilton,Senior Litigation Counsel,38,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Karen,Shinskie,Assistant United States Attorney ,12,"Obama, Bush II"
Madeleine,Shirley,Assistant United States Attorney,35,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Elaine,Shocas,"Trial Attorney, Civil Rights Division",3,"Carter, Ford"
William,Shockley,Assistant United States Attorney,25,"Bush II, Clinton, Bush I, Reagan"
Ronald,Shur,Assistant United States Attorney,3,Reagan
Gerald,Shur,"Senior Associate Director, Office of Enforcement Operations",34,"Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson, Kennedy"
Robert,Shwartz ,Assistant United States Attorney,6,"Reagan, Carter"
Janna,Sidley,"Deputy, Violence Against Woman Office, Assistant United States Attorney, Central District CA",5,"Bush II, Clinton"
Jack,Sidorov,Staff Attorney,36,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Siegel,Assistant United States Attorney,6,"Reagan, Carter"
Scott,Siff,Counsel to the Assistant Attorney General,7,"Clinton, Bush I"
Steven,Siger,"Chief of Staff, Office of Legal Policy",4,Obama
Richard,Signorelli,Assistant United States Attorney SDNY,4,Bush I
William,Siler,Chief of the Civil Division of the U. S. Attorneys Office for the Western District of Tennessee,29,"Trump, Obama, Bush II, Clinton, Bush I"
Thomas,Silk,Appellate Attorney,4,"Johnson, Kennedy"
Jessica,Silver,Principal Deputy Chief,37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Ronald,Silver,"Chief, Civil Division, District of Oregon",33,"Obama, Bush II, Clinton, Bush I, Reagan"
Larry,Silverman,"Chief, Criminal Division EDNY",7,"Reagan, Carter, Ford, Nixon"
Steven,Silverman,Deputy Assistant Attorney General,13,"Obama, Clinton, Bush I, Reagan"
Karen,Silverman,Special Assistant to the Assistant Attorney General ,3,Bush I
Ronald ,Sim,United States Attorney Western District of Washington ,8,"Carter, Ford, Nixon"
Samuel,Simon,"Line Attorney, Appellate Section, Antitrust Division",4,"Carter, Ford"
Sandra,Simon,Trial Attorney,32,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Nancy,Simpson,Executive Assistant United States Attorney,23,"Clinton, Bush I, Reagan, Carter"
Carolyn,Simpson,"Assistant United States Attorney, SDNY",10,"Reagan, Carter"
Robert,Sims,"Assistant United States Attorney, District of Maryland",6,"Clinton, Bush I"
Deborah,Sines,"Deputy Chief Homicide Section, USAO DC33",33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Bruce,Singal,Assistant United States Attorney,8,"Reagan, Carter"
Anne,Singer,Assistant United States Attorney,12,"Bush I, Reagan, Carter"
William,Sinnott,"Chief, New England Organized Crime Drug Enforcement Task Force",12,"Bush II, Clinton, Bush I"
Amy,Sirignano,"Supervising Attorney, Gang Unit, GS-15",10,"Bush II, Clinton, Bush I"
Rima,Sirota,"Attorney-Advisor, Professional Responsibility Advisory Office",7,"Bush II, Clinton"
Gregory,Sisk,"Attorney, Appellate Staff, Civil Division",3,"Bush I, Reagan"
Jeffrey,Sklaroff,"Assistant United States Attorney, Southern District of New York",5,"Clinton, Bush I"
Barney,Skolnik,"Chief of the Public Corruption Unit, United States Attorney's Office, Baltimore",14,"Carter, Ford, Nixon, Johnson"
Thomas,SleisengerAssistan,Assistant United States Attorney,17,"Bush II, Clinton, Bush I, Reagan"
Paul,Sloan,Assistant United States Attorney,5,"Nixon, Johnson"
Melanie,Sloan,Assistant United States Attorney,5,Bush II
Andrea,Sloan,Immigration Judge,6.5,Obama
Jeffrey,Sloman,United States Attorney,20,"Obama, Bush II, Clinton, Bush I"
Daniel ,Small,Assistant United States Attorney,10,"Reagan, Carter"
Bernadine,Smalls,Contracting Officer,15,"Trump, Obama, Bush II"
Jonathan,Smith,"Section Chief, Civil Rights Division",5,Obama
Russell,Smith,Senior Attorney,6,"Bush II, Clinton"
Peter,Smith,"United States Attorney, MDPA (2010-2016).",20,"Obama, Clinton, Reagan, Carter"
M. Neil,Smith,Senior Litigation Counsel,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Mary,Smith,"Counselor, Civil Division",4,"Obama, Clinton"
Johnathan,Smith,"Senior Counsel, Office of the Assistant Attorney General, Civil Rights Division ",2,Obama
Mary,Smith,Assistant United States Attorney,25,"Bush II, Clinton, Bush I, Reagan"
Dylan,Smith,Assistant United States Attorney,5.5,Obama
Susan Lea,Smith,Assistant Chief,5,"Bush I, Reagan"
Barbara,Smith,Assistant United States Attorney; Acting Executive United States Attorney; Ethics Adviser,13,"Obama, Bush II, Clinton"
Jason,Smith,Assistant United States Attorney  ,12,"Trump, Obama, Bush II"
Bruce,Smith,"Assistant United States Attorney, Bureau Chief, EDNY",4,"Ford, Nixon"
David,Smith,Senior Litigation Counsel-Lead OCDETF Attorney,18,"Clinton, Bush I, Reagan, Carter"
Dietrich,Snell,"Deputy Chief of Appeals, Criminal Division, Southern District of New York",10,"Clinton, Bush I, Reagan"
Michael,Snipes,Assistant United States Attorney ,13,"Bush II, Clinton, Bush I"
John,Snyder,Counsel to Assistant Attorney General,12,"Obama, Bush II"
Laurie,Snyder,Trial Attorney,29,"Obama, Bush II, Clinton, Bush I"
Eileen,Sobeck,"Deputy Assistant Attorney General, ENRD",25,"Obama, Bush II, Clinton, Bush I, Reagan"
Peter,Sobol,Assistant United States Attorney,27,"Obama, Bush II, Clinton, Bush I, Reagan"
Betty-Ann,Soiefer Izenman,Assistant United States Attorney for the District of Columbia,8,"Bush I, Reagan"
Amy,Solomon ,Director of Policy,10,"Obama, Clinton"
Steve,Solow,Chief,6,Clinton
Marco,Sonnenschein,Attorney ,5,"Johnson, Kennedy"
Neal,Sonnett ,"Assistant United States Attorney, Chief of Criminal Division, SD FL",4,Nixon
Juliet,Sorensen,Assistant United States Attorney,7,"Obama, Bush II"
Kurt,Sorensen,Trial Attorney,3,Nixon
Alejandro,Soto,Deputy Chief Assistant United States Attorney,11,"Obama, Bush II"
Alexander,Southwell,Assistant United States Attorney,6,Bush II
Roger ,Spaeder ,Assistant United States Attorney,6,"Carter, Ford, Nixon"
Mary,Spearing ,"Chief, Fraud Section ",17,"Clinton, Bush I, Reagan, Carter"
Dayle,Spencer,Assistant United States Attorney,8,"Reagan, Carter"
Nancy,Spencer,"Senior Counsel, Environmental Enforcement Section",8,"Clinton, Bush I"
James,Spertus,Assistant United States Attorney,8,Clinton
Kenneth,Spillias,"Trial Attorney, Criminal Appeals",2,"Ford, Nixon"
Sal,Spinosa,Trial Attorney,1,Reagan
Sandra,Spooner,"Deputy Director, Commercial Litigation Branch, Civil Division",30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Jacqueline,Spratt,Assistant United States Attorney,12,"Obama, Bush II, Clinton"
David,Spring,Special Assistant United States Attorney,2,Clinton
James,Springer,Senior Counsel for International Tax Matters,30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
James,Springer,Deputy Solicitor General,3,"Nixon, Johnson"
Joseph,Springsteen,Assistant United States Attorney,8,"Trump, Obama, Bush II"
Charles,Spurlock,Assistant United States Attorney,5,Bush I
Mark,St. Angelo,Acting United States Trustee,20,"Bush II, Clinton, Bush I, Reagan"
John,Stahr,Appellate Attorney,24,"Bush II, Clinton, Bush I, Reagan"
Stephen,Stallings,Assistant United States Attorney,7,Bush II
Andrew,Stanner,Senior Counsel,1.5,Obama
Martha,Stansell-Gamm,"Chief, Computer Crime & I.P. Section",16,"Bush II, Clinton, Bush I"
William,Stapleton,Assistant Chief ,37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Lisa,Stark,"Assistant United States Attorney; Senior Attorney, Appellate Section ",33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Judson ,Starr,Chief. Environmental Crimes Section,10,"Clinton, Bush I, Reagan, Carter"
Katherine,Staton,Assistant United States Attorney,7,"Clinton, Bush I"
Richard,Stearns,"Assistant Branch Director, Civil Division",7,"Bush I, Reagan"
Joan,Stearns,Assistant United States Attorney for the Western District of Texas,7,Clinton
Michalyn,Steele,"Trial Attorney, Civil Rights Division",6,"Obama, Bush II"
Peter,Steenland,"Chef, Appellate Section",32,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Dodie,Steenland,Special Assistant to the Executive Office,36,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Carolyn,Stein,Assistant United States Attorney,7,"Clinton, Bush I"
Gary,Stein,"Chief Appellate Attorney, SDNY",9,"Bush II, Clinton"
